repository,pr,ga,v_old,v_new,update_type
huanmeng-qwq/Gui,5,org.apache.maven.plugins:maven-compiler-plugin,3.10.1,3.13.0,minor
huanmeng-qwq/Gui,4,org.jetbrains.dokka:dokka-maven-plugin,1.8.10,1.9.20,minor
huanmeng-qwq/Gui,2,org.apache.maven.plugins:maven-release-plugin,2.5.3,3.0.1,major
camunda-community-hub/zeebe-clickhouse-exporter,63,com.puppycrawl.tools:checkstyle,10.12.1,10.12.3,patch
SpringBootCourses/tasklist,49,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.3.0,2.4.0,minor
SpringBootCourses/tasklist,48,io.minio:minio,8.5.8,8.5.9,patch
SpringBootCourses/tasklist,47,org.mockito:mockito-core,5.9.0,5.11.0,minor
SpringBootCourses/tasklist,43,org.jacoco:jacoco-maven-plugin,0.8.8,0.8.11,patch
SpringBootCourses/tasklist,40,io.minio:minio,8.5.7,8.5.8,patch
SpringBootCourses/tasklist,39,org.junit.jupiter:junit-jupiter-api,5.10.1,5.10.2,patch
SpringBootCourses/tasklist,32,com.graphql-java-kickstart:graphql-java-kickstart,15.0.0,15.2.0,minor
SpringBootCourses/tasklist,30,au.com.acegi:xml-format-maven-plugin,3.2.2,3.3.1,minor
SpringBootCourses/tasklist,27,com.graphql-java:graphql-java-extended-scalars,20.2,21.0,major
SpringBootCourses/tasklist,26,io.minio:minio,8.5.3,8.5.7,patch
SpringBootCourses/tasklist,24,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.0.2,2.3.0,minor
SpringBootCourses/tasklist,23,org.liquibase:liquibase-core,4.23.0,4.25.1,minor
SpringBootCourses/tasklist,22,org.mockito:mockito-core,5.4.0,5.9.0,minor
SpringBootCourses/tasklist,21,org.postgresql:postgresql,42.5.1,42.7.1,minor
SpringBootCourses/tasklist,18,org.junit.jupiter:junit-jupiter-api,5.10.0,5.10.1,patch
quarkiverse/quarkus-primefaces,198,com.googlecode.libphonenumber:libphonenumber,8.13.35,8.13.36,patch
quarkiverse/quarkus-primefaces,192,com.googlecode.libphonenumber:libphonenumber,8.13.34,8.13.35,patch
quarkiverse/quarkus-primefaces,155,org.primefaces:primefaces,13.0.4,13.0.5,patch
quarkiverse/quarkus-primefaces,154,com.googlecode.libphonenumber:libphonenumber,8.13.27,8.13.28,patch
quarkiverse/quarkus-primefaces,153,dev.morphia.morphia:morphia-core,2.4.10,2.4.11,patch
quarkiverse/quarkus-primefaces,147,org.primefaces:primefaces,13.0.3,13.0.4,patch
quarkiverse/quarkus-primefaces,146,dev.morphia.morphia:morphia-core,2.4.9,2.4.10,patch
quarkiverse/quarkus-primefaces,143,com.googlecode.libphonenumber:libphonenumber,8.13.26,8.13.27,patch
quarkiverse/quarkus-primefaces,141,dev.morphia.morphia:morphia-core,2.4.8,2.4.9,patch
quarkiverse/quarkus-primefaces,140,com.googlecode.libphonenumber:libphonenumber,8.13.25,8.13.26,patch
quarkiverse/quarkus-primefaces,137,dev.morphia.morphia:morphia-core,2.4.7,2.4.8,patch
quarkiverse/quarkus-primefaces,133,org.primefaces:primefaces,13.0.2,13.0.3,patch
quarkiverse/quarkus-primefaces,132,com.googlecode.libphonenumber:libphonenumber,8.13.24,8.13.25,patch
quarkiverse/quarkus-primefaces,130,dev.morphia.morphia:morphia-core,2.4.6,2.4.7,patch
quarkiverse/quarkus-primefaces,129,com.googlecode.libphonenumber:libphonenumber,8.13.23,8.13.24,patch
quarkiverse/quarkus-primefaces,124,com.googlecode.libphonenumber:libphonenumber,8.13.22,8.13.23,patch
quarkiverse/quarkus-primefaces,122,org.primefaces:primefaces,13.0.1,13.0.2,patch
quarkiverse/quarkus-primefaces,118,dev.morphia.morphia:morphia-core,2.4.5,2.4.6,patch
quarkiverse/quarkus-primefaces,117,com.googlecode.libphonenumber:libphonenumber,8.13.21,8.13.22,patch
quarkiverse/quarkus-primefaces,114,dev.morphia.morphia:morphia-core,2.4.4,2.4.5,patch
quarkiverse/quarkus-primefaces,113,com.googlecode.libphonenumber:libphonenumber,8.13.20,8.13.21,patch
quarkiverse/quarkus-primefaces,109,org.primefaces:primefaces,13.0.0,13.0.1,patch
quarkiverse/quarkus-primefaces,107,dev.morphia.morphia:morphia-core,2.4.3,2.4.4,patch
quarkiverse/quarkus-primefaces,106,dev.morphia.morphia:morphia-core,2.4.2,2.4.3,patch
quarkiverse/quarkus-primefaces,104,com.googlecode.libphonenumber:libphonenumber,8.13.19,8.13.20,patch
quarkiverse/quarkus-primefaces,102,dev.morphia.morphia:morphia-core,2.4.1,2.4.2,patch
quarkiverse/quarkus-primefaces,101,com.googlecode.libphonenumber:libphonenumber,8.13.18,8.13.19,patch
quarkiverse/quarkus-primefaces,98,com.googlecode.libphonenumber:libphonenumber,8.13.17,8.13.18,patch
quarkiverse/quarkus-primefaces,96,dev.morphia.morphia:morphia-core,2.4.0,2.4.1,patch
quarkiverse/quarkus-primefaces,95,dev.morphia.morphia:morphia-core,2.3.6,2.4.0,minor
quarkiverse/quarkus-primefaces,94,dev.morphia.morphia:morphia-core,2.3.5,2.3.6,patch
databricks/databricks-sdk-java,206,org.apache.maven.plugins:maven-failsafe-plugin,3.1.2,3.2.5,minor
databricks/databricks-sdk-java,147,org.slf4j:slf4j-reload4j,2.0.7,2.0.9,patch
liquibase/liquibase-databricks,135,com.databricks:databricks-jdbc,2.6.36,2.6.38,patch
liquibase/liquibase-databricks,100,org.codehaus.mojo:flatten-maven-plugin,1.5.0,1.6.0,minor
liquibase/liquibase-databricks,91,com.databricks:databricks-jdbc,2.6.34,2.6.36,patch
liquibase/liquibase-databricks,89,org.liquibase.ext:liquibase-sdk-maven-plugin,0.10.22,0.10.23,patch
liquibase/liquibase-databricks,85,org.liquibase.ext:liquibase-sdk-maven-plugin,0.10.20,0.10.22,patch
liquibase/liquibase-databricks,83,org.codehaus.mojo:flatten-maven-plugin,1.4.1,1.5.0,minor
liquibase/liquibase-databricks,82,org.sonarsource.scanner.maven:sonar-maven-plugin,3.9.1.2184,3.10.0.2594,minor
liquibase/liquibase-databricks,79,org.apache.maven.plugins:maven-surefire-plugin,3.1.0,3.2.2,minor
liquibase/liquibase-databricks,78,org.codehaus.mojo:build-helper-maven-plugin,3.3.0,3.5.0,minor
rabobank/shadow-tool,154,org.bouncycastle:bcprov-jdk18on,1.78,1.78.1,patch
rabobank/shadow-tool,150,org.bouncycastle:bcprov-jdk18on,1.77,1.78,minor
rabobank/shadow-tool,148,org.javers:javers-core,7.4.1,7.4.2,patch
rabobank/shadow-tool,144,org.javers:javers-core,7.4.0,7.4.1,patch
rabobank/shadow-tool,141,org.javers:javers-core,7.3.8,7.4.0,minor
rabobank/shadow-tool,139,org.javers:javers-core,7.3.7,7.3.8,patch
rabobank/shadow-tool,128,org.javers:javers-core,7.3.6,7.3.7,patch
rabobank/shadow-tool,126,io.projectreactor:reactor-core,3.6.0,3.6.1,patch
rabobank/shadow-tool,123,org.mockito:mockito-core,5.7.0,5.8.0,minor
rabobank/shadow-tool,114,org.javers:javers-core,7.3.5,7.3.6,patch
rabobank/shadow-tool,104,org.javers:javers-core,7.3.3,7.3.5,patch
rabobank/shadow-tool,103,org.mockito:mockito-core,5.6.0,5.7.0,minor
rabobank/shadow-tool,99,io.projectreactor:reactor-core,3.5.10,3.5.11,patch
rabobank/shadow-tool,96,io.projectreactor:reactor-core,3.5.7,3.5.10,patch
rabobank/shadow-tool,95,org.javers:javers-core,7.0.2,7.3.3,minor
java-operator-sdk/jenvtest,168,org.bouncycastle:bcpkix-jdk18on,1.77,1.78,minor
java-operator-sdk/jenvtest,167,commons-io:commons-io,2.15.0,2.16.0,minor
java-operator-sdk/jenvtest,166,org.apache.commons:commons-compress,1.26.0,1.26.1,patch
java-operator-sdk/jenvtest,162,org.apache.commons:commons-compress,1.25.0,1.26.0,minor
java-operator-sdk/jenvtest,158,org.mockito:mockito-core,5.8.0,5.10.0,minor
java-operator-sdk/jenvtest,143,com.fasterxml.jackson.core:jackson-databind,2.14.2,2.16.0,minor
java-operator-sdk/jenvtest,142,io.javaoperatorsdk:kubernetes-webhooks-framework-core,1.0.0,1.1.3,minor
java-operator-sdk/jenvtest,130,commons-io:commons-io,2.13.0,2.15.0,minor
java-operator-sdk/jenvtest,129,org.apache.commons:commons-compress,1.24.0,1.25.0,minor
java-operator-sdk/jenvtest,122,org.apache.maven.plugins:maven-javadoc-plugin,3.5.0,3.6.2,minor
java-operator-sdk/jenvtest,113,org.apache.commons:commons-compress,1.23.0,1.24.0,minor
java-operator-sdk/jenvtest,109,org.mockito:mockito-core,5.4.0,5.5.0,minor
aws/neptune-export,100,org.apache.maven.plugins:maven-javadoc-plugin,2.9.1,3.6.3,major
aws/neptune-export,54,org.apache.maven.plugins:maven-deploy-plugin,2.8.1,3.1.1,major
jetty/jetty-examples,75,org.apache.logging.log4j:log4j-slf4j2-impl,2.22.1,2.23.1,other
jetty/jetty-examples,74,commons-logging:commons-logging,1.2,1.3.1,other
jetty/jetty-examples,54,ch.qos.logback:logback-classic,1.4.14,1.5.6,other
jetty/jetty-examples,52,org.codehaus.mojo:exec-maven-plugin,3.1.1,3.2.0,other
jetty/jetty-examples,38,org.slf4j:jcl-over-slf4j,2.0.12,2.0.13,other
jetty/jetty-examples,36,org.jboss.weld.servlet:weld-servlet-core,3.0.0.Final,3.0.6.Final,other
jetty/jetty-examples,4,org.slf4j:jcl-over-slf4j,2.0.11,2.0.12,other
quarkiverse/quarkus-mailpit,60,org.openapitools:openapi-generator-maven-plugin,7.4.0,7.5.0,other
quarkiverse/quarkus-mailpit,33,org.openapitools:openapi-generator-maven-plugin,7.1.0,7.2.0,other
quarkiverse/quarkus-mailpit,28,org.openapitools:openapi-generator-maven-plugin,7.0.1,7.1.0,other
quarkiverse/quarkus-mailpit,14,org.openapitools:openapi-generator-maven-plugin,7.0.0,7.0.1,other
CloneWith/opsu,73,org.gnu.gettext:libintl,0.18.2,0.18.3,other
CloneWith/opsu,48,org.codehaus.mojo:exec-maven-plugin,1.3.2,3.1.1,other
CloneWith/opsu,47,org.apache.maven.plugins:maven-shade-plugin,2.4.1,3.5.1,other
CloneWith/opsu,45,org.apache.maven:maven-artifact,3.3.3,3.9.6,other
CloneWith/opsu,44,org.tukaani:xz,1.6,1.9,other
CloneWith/opsu,39,net.java.dev.jna:jna,4.2.2,5.14.0,other
CloneWith/opsu,38,org.apache.maven.plugins:maven-compiler-plugin,3.2,3.12.1,other
CloneWith/opsu,37,net.java.dev.jna:jna-platform,4.2.2,5.14.0,other
CloneWith/opsu,36,org.xerial:sqlite-jdbc,3.41.2.2,3.45.1.0,other
CloneWith/opsu,35,net.lingala.zip4j:zip4j,2.11.3,2.11.5,other
CloneWith/opsu,6,org.xerial:sqlite-jdbc,3.15.1,3.41.2.2,minor
CloneWith/opsu,4,net.lingala.zip4j:zip4j,1.3.2,2.11.3,other
CloneWith/opsu,5,org.json:json,20160810,20231013,other
InfluxCommunity/influxdb3-java,128,org.apache.maven.plugins:maven-gpg-plugin,3.2.2,3.2.4,other
InfluxCommunity/influxdb3-java,116,org.apache.arrow:flight-grpc,15.0.1,15.0.2,other
InfluxCommunity/influxdb3-java,111,org.apache.arrow:flight-grpc,15.0.0,15.0.1,other
InfluxCommunity/influxdb3-java,102,com.google.protobuf:protobuf-java,3.25.2,3.25.3,other
InfluxCommunity/influxdb3-java,93,org.apache.arrow:flight-grpc,14.0.2,15.0.0,other
InfluxCommunity/influxdb3-java,90,org.slf4j:slf4j-simple,2.0.10,2.0.11,other
InfluxCommunity/influxdb3-java,88,com.google.protobuf:protobuf-java,3.25.1,3.25.2,other
InfluxCommunity/influxdb3-java,86,org.slf4j:slf4j-simple,2.0.9,2.0.10,other
InfluxCommunity/influxdb3-java,81,org.apache.arrow:flight-grpc,14.0.1,14.0.2,other
InfluxCommunity/influxdb3-java,73,org.apache.maven.plugins:maven-project-info-reports-plugin,3.4.5,3.5.0,other
InfluxCommunity/influxdb3-java,71,com.google.protobuf:protobuf-java,3.25.0,3.25.1,other
InfluxCommunity/influxdb3-java,66,org.apache.arrow:flight-grpc,14.0.0,14.0.1,other
InfluxCommunity/influxdb3-java,64,org.apache.arrow:flight-grpc,13.0.0,14.0.0,other
InfluxCommunity/influxdb3-java,63,com.google.protobuf:protobuf-java,3.24.4,3.25.0,other
InfluxCommunity/influxdb3-java,59,com.squareup.okhttp3:mockwebserver,4.11.0,4.12.0,other
InfluxCommunity/influxdb3-java,57,com.google.guava:guava,32.1.2-jre,32.1.3-jre,other
InfluxCommunity/influxdb3-java,56,io.netty:netty-codec-http2,4.1.99.Final,4.1.100.Final,other
InfluxCommunity/influxdb3-java,51,com.google.protobuf:protobuf-java,3.24.3,3.24.4,other
InfluxCommunity/influxdb3-java,45,org.apache.maven.plugins:maven-enforcer-plugin,3.3.0,3.4.1,other
InfluxCommunity/influxdb3-java,44,com.google.protobuf:protobuf-java,3.24.1,3.24.3,other
InfluxCommunity/influxdb3-java,43,org.slf4j:slf4j-simple,2.0.7,2.0.9,other
InfluxCommunity/influxdb3-java,39,org.apache.arrow:flight-grpc,12.0.1,13.0.0,other
InfluxCommunity/influxdb3-java,35,com.google.protobuf:protobuf-java,3.24.0,3.24.1,other
InfluxCommunity/influxdb3-java,34,com.google.protobuf:protobuf-java,3.23.4,3.24.0,other
quarkiverse/quarkus-bucket4j,112,com.bucket4j:bucket4j-caffeine,8.8.0,8.10.1,other
quarkiverse/quarkus-bucket4j,111,com.bucket4j:bucket4j-core,8.8.0,8.10.1,other
quarkiverse/quarkus-bucket4j,100,com.bucket4j:bucket4j-core,8.7.0,8.8.0,other
quarkiverse/quarkus-bucket4j,99,com.bucket4j:bucket4j-caffeine,8.7.0,8.8.0,other
quarkiverse/quarkus-bucket4j,96,org.assertj:assertj-core,3.25.1,3.25.3,other
KouShenhai/KCloud-Platform-IoT,1654,com.amazonaws:aws-java-sdk-s3,1.12.704,1.12.705,other
KouShenhai/KCloud-Platform-IoT,1517,com.amazonaws:aws-java-sdk-s3,1.12.695,1.12.696,other
KouShenhai/KCloud-Platform-IoT,1218,org.redisson:redisson,3.26.0,3.26.1,other
KouShenhai/KCloud-Platform-IoT,1186,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.16,7.17.17,other
KouShenhai/KCloud-Platform-IoT,1086,com.ctrip.framework.apollo:apollo-openapi,2.1.0,2.2.0,other
KouShenhai/KCloud-Platform-IoT,1041,org.apache.httpcomponents:httpcore,4.4.15,4.4.16,other
KouShenhai/KCloud-Platform-IoT,1007,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.15,7.17.16,other
KouShenhai/KCloud-Platform-IoT,988,com.alibaba:druid,1.2.16,1.2.20,other
KouShenhai/KCloud-Platform-IoT,961,com.alibaba:transmittable-thread-local,2.14.3,2.14.4,other
KouShenhai/KCloud-Platform-IoT,959,org.flywaydb:flyway-mysql,9.20.0,10.1.0,other
KouShenhai/KCloud-Platform-IoT,556,org.springframework.kafka:spring-kafka,3.0.4,3.0.10,other
mfoo/libyear-maven-plugin,221,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.19,other
mfoo/libyear-maven-plugin,219,org.apache.maven.plugins:maven-invoker-plugin,3.6.0,3.6.1,other
mfoo/libyear-maven-plugin,217,org.apache.maven.plugins:maven-plugin-plugin,3.11.0,3.12.0,other
mfoo/libyear-maven-plugin,214,org.apache.maven.plugins:maven-plugin-report-plugin,3.11.0,3.12.0,other
mfoo/libyear-maven-plugin,212,org.apache.maven.plugin-tools:maven-plugin-annotations,3.11.0,3.12.0,other
mfoo/libyear-maven-plugin,207,org.mockito:mockito-junit-jupiter,5.10.0,5.11.0,other
mfoo/libyear-maven-plugin,204,com.github.tomakehurst:wiremock-jre8,2.35.1,2.35.2,other
mfoo/libyear-maven-plugin,199,com.diffplug.spotless:spotless-maven-plugin,2.42.0,2.43.0,other
mfoo/libyear-maven-plugin,198,org.mockito:mockito-junit-jupiter,5.9.0,5.10.0,other
mfoo/libyear-maven-plugin,196,org.apache.maven.plugins:maven-plugin-report-plugin,3.10.2,3.11.0,other
mfoo/libyear-maven-plugin,194,org.mockito:mockito-junit-jupiter,5.8.0,5.9.0,other
mfoo/libyear-maven-plugin,190,com.diffplug.spotless:spotless-maven-plugin,2.41.1,2.42.0,other
mfoo/libyear-maven-plugin,189,org.apache.maven.plugin-tools:maven-plugin-annotations,3.10.2,3.11.0,other
mfoo/libyear-maven-plugin,185,org.codehaus.plexus:plexus-xml,4.0.2,4.0.3,other
mfoo/libyear-maven-plugin,182,com.diffplug.spotless:spotless-maven-plugin,2.40.0,2.41.1,other
mfoo/libyear-maven-plugin,180,org.mockito:mockito-junit-jupiter,5.7.0,5.8.0,other
mfoo/libyear-maven-plugin,175,org.apache.maven.resolver:maven-resolver-api,1.9.16,1.9.18,other
mfoo/libyear-maven-plugin,171,org.apache.maven.plugins:maven-plugin-report-plugin,3.10.1,3.10.2,other
mfoo/libyear-maven-plugin,170,org.apache.maven.plugin-tools:maven-plugin-annotations,3.10.1,3.10.2,other
mfoo/libyear-maven-plugin,168,org.apache.maven.plugins:maven-plugin-plugin,3.10.1,3.10.2,other
mfoo/libyear-maven-plugin,166,org.mockito:mockito-junit-jupiter,5.6.0,5.7.0,other
mfoo/libyear-maven-plugin,162,org.apache.maven.plugins:maven-plugin-report-plugin,3.9.0,3.10.1,other
mfoo/libyear-maven-plugin,160,org.apache.maven.plugins:maven-plugin-plugin,3.9.0,3.10.1,other
mfoo/libyear-maven-plugin,159,org.apache.maven.plugin-tools:maven-plugin-annotations,3.9.0,3.10.1,other
mfoo/libyear-maven-plugin,156,org.mockito:mockito-junit-jupiter,5.5.0,5.6.0,other
mfoo/libyear-maven-plugin,155,org.mockito:mockito-core,5.5.0,5.6.0,other
mfoo/libyear-maven-plugin,153,org.apache.maven.resolver:maven-resolver-api,1.9.15,1.9.16,other
mfoo/libyear-maven-plugin,152,com.diffplug.spotless:spotless-maven-plugin,2.39.0,2.40.0,other
mfoo/libyear-maven-plugin,148,com.github.tomakehurst:wiremock-jre8,2.35.0,2.35.1,other
mfoo/libyear-maven-plugin,147,com.diffplug.spotless:spotless-maven-plugin,2.38.0,2.39.0,other
mfoo/libyear-maven-plugin,145,org.mockito:mockito-junit-jupiter,5.4.0,5.5.0,other
mfoo/libyear-maven-plugin,141,org.apache.maven.resolver:maven-resolver-api,1.9.14,1.9.15,other
mfoo/libyear-maven-plugin,139,org.apache.maven.resolver:maven-resolver-api,1.9.13,1.9.14,other
mfoo/libyear-maven-plugin,136,com.diffplug.spotless:spotless-maven-plugin,2.37.0,2.38.0,other
mcollovati/quarkus-hilla,685,org.jreleaser:jreleaser-maven-plugin,1.11.0,1.12.0,other
mcollovati/quarkus-hilla,680,com.codeborne:selenide,7.2.3,7.3.1,other
mcollovati/quarkus-hilla,637,com.codeborne:selenide,7.2.2,7.2.3,other
mcollovati/quarkus-hilla,628,com.codeborne:selenide,7.2.1,7.2.2,other
mcollovati/quarkus-hilla,597,com.codeborne:selenide,7.2.0,7.2.1,other
mcollovati/quarkus-hilla,588,org.jreleaser:jreleaser-maven-plugin,1.10.0,1.11.0,other
mcollovati/quarkus-hilla,547,com.codeborne:selenide,7.0.5,7.0.6,other
mcollovati/quarkus-hilla,542,com.codeborne:selenide,7.0.4,7.0.5,other
mcollovati/quarkus-hilla,529,com.diffplug.spotless:spotless-maven-plugin,2.41.1,2.43.0,other
mcollovati/quarkus-hilla,508,org.jreleaser:jreleaser-maven-plugin,1.9.0,1.10.0,other
mcollovati/quarkus-hilla,470,com.codeborne:selenide,7.0.3,7.0.4,other
mcollovati/quarkus-hilla,461,com.diffplug.spotless:spotless-maven-plugin,2.41.0,2.41.1,other
mcollovati/quarkus-hilla,455,com.codeborne:selenide,7.0.2,7.0.3,other
mcollovati/quarkus-hilla,443,io.smallrye:jandex-maven-plugin,3.1.5,3.1.6,other
mcollovati/quarkus-hilla,441,com.diffplug.spotless:spotless-maven-plugin,2.40.0,2.41.0,other
mcollovati/quarkus-hilla,364,com.codeborne:selenide,7.0.0,7.0.1,other
mcollovati/quarkus-hilla,350,com.codeborne:selenide,6.19.1,7.0.0,other
mcollovati/quarkus-hilla,332,com.codeborne:selenide,6.19.0,6.19.1,other
mcollovati/quarkus-hilla,279,com.codeborne:selenide,6.18.0,6.19.0,other
mcollovati/quarkus-hilla,276,io.smallrye:jandex-maven-plugin,3.1.3,3.1.5,other
mcollovati/quarkus-hilla,246,com.codeborne:selenide,6.17.2,6.18.0,other
mcollovati/quarkus-hilla,241,com.codeborne:selenide,6.16.0,6.17.2,other
mcollovati/quarkus-hilla,240,org.jreleaser:jreleaser-maven-plugin,1.7.0,1.8.0,other
mcollovati/quarkus-hilla,227,io.smallrye:jandex-maven-plugin,3.1.2,3.1.3,other
mcollovati/quarkus-hilla,221,com.codeborne:selenide,6.17.1,6.17.2,other
mcollovati/quarkus-hilla,210,com.codeborne:selenide,6.17.0,6.17.1,other
mcollovati/quarkus-hilla,195,com.codeborne:selenide,6.16.1,6.17.0,other
mcollovati/quarkus-hilla,175,com.codeborne:selenide,6.16.0,6.16.1,other
kiota-community/kiota-java-extra,126,com.microsoft.kiota:microsoft-kiota-abstractions,1.1.6,1.1.9,other
kiota-community/kiota-java-extra,125,com.microsoft.kiota:microsoft-kiota-abstractions,1.1.4,1.1.6,other
kiota-community/kiota-java-extra,119,com.microsoft.kiota:microsoft-kiota-abstractions,1.1.3,1.1.4,other
kiota-community/kiota-java-extra,113,com.microsoft.kiota:microsoft-kiota-abstractions,1.1.2,1.1.3,other
kiota-community/kiota-java-extra,109,com.microsoft.kiota:microsoft-kiota-abstractions,1.1.1,1.1.2,other
kiota-community/kiota-java-extra,108,com.microsoft.kiota:microsoft-kiota-abstractions,1.0.6,1.1.1,other
kiota-community/kiota-java-extra,102,com.microsoft.kiota:microsoft-kiota-abstractions,1.0.5,1.0.6,other
kiota-community/kiota-java-extra,99,com.microsoft.kiota:microsoft-kiota-abstractions,1.0.3,1.0.5,other
kiota-community/kiota-java-extra,97,com.microsoft.kiota:microsoft-kiota-abstractions,1.0.2,1.0.3,other
kiota-community/kiota-java-extra,96,com.microsoft.kiota:microsoft-kiota-abstractions,1.0.1,1.0.2,other
kiota-community/kiota-java-extra,94,com.microsoft.kiota:microsoft-kiota-abstractions,0.12.2,1.0.1,other
kiota-community/kiota-java-extra,91,com.microsoft.kiota:microsoft-kiota-abstractions,0.12.1,0.12.2,other
kiota-community/kiota-java-extra,74,com.github.javaparser:javaparser-core,3.25.7,3.25.8,other
kiota-community/kiota-java-extra,67,com.github.javaparser:javaparser-core,3.25.6,3.25.7,other
kiota-community/kiota-java-extra,61,org.apache.maven:maven-plugin-api,3.9.5,3.9.6,other
kiota-community/kiota-java-extra,54,org.apache.maven:maven-plugin-api,3.9.4,3.9.5,other
kiota-community/kiota-java-extra,45,org.apache.maven.plugins:maven-failsafe-plugin,3.1.2,3.2.2,other
kiota-community/kiota-java-extra,38,org.codehaus.mojo:versions-maven-plugin,2.15.0,2.16.1,other
kiota-community/kiota-java-extra,36,org.apache.maven:maven-plugin-api,3.9.1,3.9.4,other
