repository,pr,ga,v_old,v_new,update_type
awslabs/eventbridge-kafka-connector,103,com.google.guava:guava,32.1.1-jre,32.1.2-jre,patch
IBM/JTOpen,142,org.codehaus.mojo:build-helper-maven-plugin,3.4.0,3.5.0,minor
IBM/JTOpen,140,org.apache.maven.plugins:maven-compiler-plugin,3.10.0,3.11.0,minor
IBM/JTOpen,139,org.codehaus.mojo:build-helper-maven-plugin,3.2.0,3.4.0,minor
Jojoooo1/spring-boot-api,116,io.hypersistence:hypersistence-utils-hibernate-63,3.7.1,3.7.2,patch
Jojoooo1/spring-boot-api,114,com.slack.api:slack-api-client,1.38.0,1.38.1,patch
Jojoooo1/spring-boot-api,108,io.hypersistence:hypersistence-utils-hibernate-62,3.7.0,3.7.1,patch
Jojoooo1/spring-boot-api,99,com.slack.api:slack-api-client,1.36.1,1.37.0,minor
Jojoooo1/spring-boot-api,94,net.ttddyy.observation:datasource-micrometer-spring-boot,1.0.2,1.0.3,patch
Jojoooo1/spring-boot-api,92,io.hypersistence:hypersistence-utils-hibernate-62,3.6.1,3.7.0,minor
Jojoooo1/spring-boot-api,65,com.slack.api:slack-api-client,1.35.1,1.36.0,minor
Jojoooo1/spring-boot-api,62,com.slack.api:slack-api-client,1.35.0,1.35.1,patch
Jojoooo1/spring-boot-api,61,io.hypersistence:hypersistence-utils-hibernate-62,3.6.0,3.6.1,patch
Jojoooo1/spring-boot-api,55,com.slack.api:slack-api-client,1.34.0,1.35.0,minor
Jojoooo1/spring-boot-api,52,io.hypersistence:hypersistence-utils-hibernate-62,3.5.3,3.6.0,minor
Jojoooo1/spring-boot-api,50,io.opentelemetry:opentelemetry-exporter-otlp,1.30.1,1.31.0,minor
Jojoooo1/spring-boot-api,49,com.slack.api:slack-api-client,1.33.0,1.34.0,minor
Jojoooo1/spring-boot-api,47,com.slack.api:slack-api-client,1.32.2,1.33.0,minor
Jojoooo1/spring-boot-api,45,com.slack.api:slack-api-client,1.32.1,1.32.2,patch
Jojoooo1/spring-boot-api,38,org.hibernate.orm:hibernate-micrometer,6.3.0.Final,6.3.1.Final,patch
Swofty-Developments/HypixelSkyBlock,155,net.bytebuddy:byte-buddy-agent,1.14.12,1.14.13,patch
Swofty-Developments/HypixelSkyBlock,132,com.fasterxml.jackson.core:jackson-annotations,2.16.2,2.17.0,minor
Swofty-Developments/HypixelSkyBlock,130,com.fasterxml.jackson.core:jackson-core,2.16.2,2.17.0,minor
Swofty-Developments/HypixelSkyBlock,110,com.fasterxml.jackson.core:jackson-core,2.16.1,2.16.2,patch
Swofty-Developments/HypixelSkyBlock,109,com.fasterxml.jackson.core:jackson-annotations,2.16.1,2.16.2,patch
Swofty-Developments/HypixelSkyBlock,87,org.json:json,20240205,20240303,major
Swofty-Developments/HypixelSkyBlock,73,junit:junit,4.13.1,4.13.2,patch
Swofty-Developments/HypixelSkyBlock,72,net.bytebuddy:byte-buddy-agent,1.14.11,1.14.12,patch
Swofty-Developments/HypixelSkyBlock,66,org.json:json,20231013,20240205,major
Swofty-Developments/HypixelSkyBlock,60,org.tinylog:tinylog-api,2.6.2,2.7.0,minor
Swofty-Developments/HypixelSkyBlock,59,org.tinylog:slf4j-tinylog,2.6.2,2.7.0,minor
Swofty-Developments/HypixelSkyBlock,56,org.tinylog:tinylog-impl,2.6.2,2.7.0,minor
Swofty-Developments/HypixelSkyBlock,48,io.netty:netty-all,4.1.65.Final,4.1.104.Final,patch
Swofty-Developments/HypixelSkyBlock,44,org.apache.maven.shared:maven-invoker,2.2,3.2.0,major
Swofty-Developments/HypixelSkyBlock,43,org.apache.maven.plugins:maven-release-plugin,2.5.2,3.0.1,major
Swofty-Developments/HypixelSkyBlock,31,com.fasterxml.jackson.core:jackson-annotations,2.16.0,2.16.1,patch
Swofty-Developments/HypixelSkyBlock,29,com.fasterxml.jackson.core:jackson-core,2.16.0,2.16.1,patch
OpenFeign/querydsl,427,net.bytebuddy:byte-buddy,1.14.14,1.14.15,patch
OpenFeign/querydsl,426,io.smallrye:jandex,3.1.7,3.1.8,patch
OpenFeign/querydsl,423,org.jboss.logging:jboss-logging,3.5.3.Final,3.6.0.Final,minor
OpenFeign/querydsl,421,com.github.siom79.japicmp:japicmp-maven-plugin,0.21.1,0.21.2,patch
OpenFeign/querydsl,419,com.google.guava:guava,33.1.0-jre,33.2.0-jre,minor
OpenFeign/querydsl,414,org.apache.maven.plugins:maven-deploy-plugin,3.1.1,3.1.2,patch
OpenFeign/querydsl,412,io.sundr:sundr-maven-plugin,0.103.1,0.200.0,minor
OpenFeign/querydsl,407,com.github.siom79.japicmp:japicmp-maven-plugin,0.20.0,0.21.1,minor
OpenFeign/querydsl,404,net.alchim31.maven:scala-maven-plugin,4.8.1,4.9.0,minor
OpenFeign/querydsl,403,net.bytebuddy:byte-buddy,1.14.13,1.14.14,patch
OpenFeign/querydsl,399,org.apache.maven.plugins:maven-toolchains-plugin,3.1.0,3.2.0,minor
OpenFeign/querydsl,398,io.github.classgraph:classgraph,4.8.171,4.8.172,patch
OpenFeign/querydsl,397,org.apache.maven.plugins:maven-gpg-plugin,3.2.3,3.2.4,patch
OpenFeign/querydsl,392,io.github.classgraph:classgraph,4.8.170,4.8.171,patch
OpenFeign/querydsl,389,org.xerial:sqlite-jdbc,3.45.2.0,3.45.3.0,patch
OpenFeign/querydsl,386,org.codehaus.plexus:plexus-utils,4.0.0,4.0.1,patch
OpenFeign/querydsl,384,org.apache.maven.plugins:maven-scm-plugin,2.0.1,2.1.0,minor
OpenFeign/querydsl,381,org.apache.maven.plugins:maven-gpg-plugin,3.2.2,3.2.3,patch
OpenFeign/querydsl,379,org.postgresql:r2dbc-postgresql,1.0.4.RELEASE,1.0.5.RELEASE,patch
quarkiverse/quarkus-langchain4j,526,io.quarkiverse.wiremock:quarkus-wiremock-test,1.3.1,1.3.2,patch
quarkiverse/quarkus-langchain4j,490,org.wiremock:wiremock-standalone,3.5.3,3.5.4,patch
quarkiverse/quarkus-langchain4j,470,org.wiremock:wiremock-standalone,3.5.2,3.5.3,patch
Flmelody/windward,62,com.fasterxml.jackson.core:jackson-databind,2.17.0,2.17.1,patch
Flmelody/windward,59,org.slf4j:slf4j-api,2.0.12,2.0.13,patch
Flmelody/windward,58,org.apache.groovy:groovy-templates,4.0.20,4.0.21,patch
michelin/kstreamplify,201,com.puppycrawl.tools:checkstyle,10.15.0,10.16.0,minor
TFyre/bambu-farm,69,org.codehaus.mojo:jaxb2-maven-plugin,3.1.0,3.2.0,minor
awslabs/eventbridge-kafka-connector,292,commons-codec:commons-codec,1.16.1,1.17.0,minor
awslabs/eventbridge-kafka-connector,290,org.apache.maven.plugins:maven-shade-plugin,3.5.2,3.5.3,patch
awslabs/eventbridge-kafka-connector,283,ch.qos.logback:logback-classic,1.5.5,1.5.6,patch
awslabs/eventbridge-kafka-connector,280,ch.qos.logback:logback-classic,1.5.3,1.5.5,patch
Jojoooo1/spring-boot-api,151,io.hypersistence:hypersistence-utils-hibernate-63,3.7.4,3.7.5,patch
Jojoooo1/spring-boot-api,149,io.hypersistence:hypersistence-utils-hibernate-63,3.7.3,3.7.4,patch
Jojoooo1/spring-boot-api,147,io.pyroscope:agent,0.13.0,0.13.1,patch
Jojoooo1/spring-boot-api,146,io.opentelemetry:opentelemetry-api,1.36.0,1.37.0,minor
Swofty-Developments/HypixelSkyBlock,321,com.fasterxml.jackson.core:jackson-core,2.17.0,2.17.1,patch
Swofty-Developments/HypixelSkyBlock,320,com.fasterxml.jackson.core:jackson-annotations,2.17.0,2.17.1,patch
Swofty-Developments/HypixelSkyBlock,297,net.bytebuddy:byte-buddy-agent,1.14.13,1.14.14,patch
brenoepics/at4j,87,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.4,minor
brenoepics/at4j,86,org.apache.maven.plugins:maven-jar-plugin,3.3.0,3.4.1,minor
brenoepics/at4j,77,org.apache.logging.log4j:log4j-api,2.23.0,2.23.1,patch
