repository,sha
oktadev/auth0-spring-boot-angular-crud-example,"5eae66095b0d0b16ed7042321e2cb23f29f4a456
"
ollama4j/ollama4j,2df878c95358c93461b947a911a97d7ec7e2b5c3
onurhizar/spring-boot-gamepass-app,"596ac7765bf1db3054e5f000f233545fefae74ed
"
pgvector/pgvector-java,"45d8b38d292de8d1855d32d4123e8b8504bd01c0
"
praveensirvi1212/DevSecOps-project,"cf8011475f91173a7bffa1a5c03ec7bf685116dc
"
pro-crafting/Jasper-report-maven-plugin,"b2e83e25986334574151a3085576d050f81b6c54
"
qdrant/qdrant-spark,"e50330ca3a69ec80808ac86f30190f97864d4fec
"
qiuapeng921/DnfHelper-Java,"b95ca97973cb2a043941b0f38db1082658db20d1
"
rabobank/shadow-tool,3f892768aba44663d18def4a1cddb7d94d0794eb
rcaneppele/simple-openai-client,"5d4919c993c823cf249019be06b1f1ebe7809e24
"
reactiveclown/openai-webflux-java,"bf1a3aef5b2e14e340625a134b5fbb44d93fa3c8
"
rocketseat-education/ignite-java-gestao-vagas,"5e955fe5f58f95749286735ddcc8fab1f39b765c
"
sarjdev/back-end,"833a5e2953366c2eb242320dc9f8e4332295bb40
"
sashirestela/simple-openai,"e4b7555f6dbbca28c5e352c3d30ffc844abdb1ba
"
sid10t/netty-demo,"46e268080223bfd051787eadcc5b21e4a89f3698
"
sngular/pact-annotation-processor,"5e906dbf9880f71663f74130319309772f070746
"
soujava/pom-editor-maven-plugin,"14fd758ef974aeecb9d4072a936b10a484ab87ba
"
spannm/ucanaccess,edac486132f003e50b102ad8c3622dfa856d617d
strimzi/strimzi-mqtt-bridge,"8d963e75f178f714434894d057d376e556f74aad
"
sunwu51/JVMByteSwapTool,"07ccfff4db344b038ddaf893bf07abfe249b24e9
"
tballison/commoncrawl-fetcher-lite,2c106d140fc038044818a4cd53a25c82f25250b4
titusfortner/selenium-logger,"0e39610041ca8efc5579ceee5fc937671294dd30
"
toilatester/sonar-microsoft-teams-notifier,"c69a2cf6f0834407c96a72ffc9f7ff4a0fc37d4f
"
unloggedio/unlogged-sdk,4afbc8b621005b0cef08553779010e9c7d1acd51
valkey-io/valkey-java,12974bca63a1f9b2b001947f583553c9b238053a
victorrentea/spring-modulith,b5e7b117a318c8cc3a6c8b77bb7397300e95743a
vishalmysore/Tools4AI,5eb5fe8e7ffb15d97dee384c8360858bc53ffd71
walimorris/opensquare,e87fb92235ece82c696b5313c6f250226eccab33
webperside/course-erp-backend,"25caceabbf28e9a4668d7985569bf3f84ef99484
"
wiremock/wiremock-testcontainers-java,"ef4af51f10a4e6efbfbe1514317f581e01ce92ce
"
yegor256/jaxec,"716215cb005ad1c4ef4ec05ab798f047f7ab5101
"
zhugezifang/zol-collector,"5c8b535501193c8a4f976091852d9e1fe0b320e5
"
zilliztech/kafka-connect-milvus,"481984a29fb54bafff0bbac6e471c84afccab52e
"
